Node,Manual_Degree,NX_Degree,Manual_Closeness,NX_Closeness,Manual_Betweenness,NX_Betweenness,Manual_Local_Clust,NX_Local_Clust
0,0.48484848484848486,0.48484848484848486,0.5689655172413793,0.5689655172413793,0.43763528138528146,0.43763528138528146,0.15,0.15
1,0.2727272727272727,0.2727272727272727,0.4852941176470588,0.4852941176470588,0.053936688311688304,0.053936688311688304,0.3333333333333333,0.3333333333333333
2,0.30303030303030304,0.30303030303030304,0.559322033898305,0.559322033898305,0.14365680615680618,0.14365680615680618,0.24444444444444444,0.24444444444444444
3,0.18181818181818182,0.18181818181818182,0.4647887323943662,0.4647887323943662,0.011909271284271283,0.011909271284271283,0.6666666666666666,0.6666666666666666
4,0.09090909090909091,0.09090909090909091,0.3793103448275862,0.3793103448275862,0.0006313131313131313,0.0006313131313131313,0.6666666666666666,0.6666666666666666
5,0.12121212121212122,0.12121212121212122,0.38372093023255816,0.38372093023255816,0.02998737373737374,0.02998737373737374,0.5,0.5
6,0.12121212121212122,0.12121212121212122,0.38372093023255816,0.38372093023255816,0.029987373737373736,0.029987373737373736,0.5,0.5
7,0.12121212121212122,0.12121212121212122,0.44,0.44,0.0,0.0,1.0,1.0
8,0.15151515151515152,0.15151515151515152,0.515625,0.515625,0.05592682780182781,0.05592682780182781,0.5,0.5
9,0.06060606060606061,0.06060606060606061,0.4342105263157895,0.4342105263157895,0.0008477633477633477,0.0008477633477633478,0.0,0.0
10,0.09090909090909091,0.09090909090909091,0.3793103448275862,0.3793103448275862,0.0006313131313131313,0.0006313131313131313,0.6666666666666666,0.6666666666666666
11,0.030303030303030304,0.030303030303030304,0.36666666666666664,0.36666666666666664,0.0,0.0,0.0,0.0
12,0.06060606060606061,0.06060606060606061,0.3707865168539326,0.3707865168539326,0.0,0.0,1.0,1.0
13,0.15151515151515152,0.15151515151515152,0.515625,0.515625,0.04586339586339586,0.04586339586339586,0.6,0.6
14,0.06060606060606061,0.06060606060606061,0.3707865168539326,0.3707865168539326,0.0,0.0,1.0,1.0
15,0.06060606060606061,0.06060606060606061,0.3707865168539326,0.3707865168539326,0.0,0.0,1.0,1.0
16,0.06060606060606061,0.06060606060606061,0.28448275862068967,0.28448275862068967,0.0,0.0,1.0,1.0
17,0.06060606060606061,0.06060606060606061,0.375,0.375,0.0,0.0,1.0,1.0
18,0.06060606060606061,0.06060606060606061,0.3707865168539326,0.3707865168539326,0.0,0.0,1.0,1.0
19,0.09090909090909091,0.09090909090909091,0.5,0.5,0.03247504810004811,0.03247504810004811,0.3333333333333333,0.3333333333333333
20,0.06060606060606061,0.06060606060606061,0.3707865168539326,0.3707865168539326,0.0,0.0,1.0,1.0
21,0.06060606060606061,0.06060606060606061,0.375,0.375,0.0,0.0,1.0,1.0
22,0.06060606060606061,0.06060606060606061,0.3707865168539326,0.3707865168539326,0.0,0.0,1.0,1.0
23,0.15151515151515152,0.15151515151515152,0.39285714285714285,0.39285714285714285,0.017613636363636363,0.017613636363636363,0.4,0.4
24,0.09090909090909091,0.09090909090909091,0.375,0.375,0.0022095959595959595,0.0022095959595959595,0.3333333333333333,0.3333333333333333
25,0.09090909090909091,0.09090909090909091,0.375,0.375,0.0038404882154882154,0.0038404882154882154,0.3333333333333333,0.3333333333333333
26,0.06060606060606061,0.06060606060606061,0.3626373626373626,0.3626373626373626,0.0,0.0,1.0,1.0
27,0.12121212121212122,0.12121212121212122,0.4583333333333333,0.4583333333333333,0.02233345358345358,0.02233345358345358,0.16666666666666666,0.16666666666666666
28,0.09090909090909091,0.09090909090909091,0.4520547945205479,0.4520547945205479,0.0017947330447330447,0.0017947330447330447,0.3333333333333333,0.3333333333333333
29,0.12121212121212122,0.12121212121212122,0.38372093023255816,0.38372093023255816,0.0029220779220779218,0.0029220779220779218,0.6666666666666666,0.6666666666666666
30,0.12121212121212122,0.12121212121212122,0.4583333333333333,0.4583333333333333,0.014411976911976914,0.014411976911976909,0.5,0.5
31,0.18181818181818182,0.18181818181818182,0.5409836065573771,0.5409836065573771,0.13827561327561325,0.13827561327561325,0.2,0.2
32,0.36363636363636365,0.36363636363636365,0.515625,0.515625,0.145247113997114,0.145247113997114,0.19696969696969696,0.19696969696969696
33,0.5151515151515151,0.5151515151515151,0.55,0.55,0.30407497594997596,0.30407497594997596,0.11029411764705882,0.11029411764705882
